record_id,date,year,season,region,product_id,category,product_name,color,fabric,price_tier,price_usd,discount_pct,historical_sales_units,search_volume_index,social_media_mentions,instagram_hashtag_count,tiktok_video_count,influencer_mentions,customer_rating,return_rate_pct,stock_availability_pct,repeat_purchase_rate_pct,website_click_through_rate,days_in_top_100,trending_score,is_trending,trending_label
49,2025-02-21,2025,Winter,Europe,P100048,Footwear,Ballet Flats,Lavender,Silk,Premium,117.09,32.7,1983,61,2231,13095,2127,10,4.2,16.2,75.0,0.0,1.37,2,57.33,0,Not Trending
50,2024-09-12,2024,Summer,Latin America,P100049,Outerwear,Cardigan,Lavender,Cotton,Mid-Range,74.08,0.0,695,2,2766,3010,1123,19,4.3,12.9,83.3,28.5,2.3,29,32.5,0,Not Trending
51,2025-07-08,2025,Winter,Latin America,P100050,Dresses,Wrap Dress,Hot Pink,Satin,Budget,21.75,7.2,2853,99,544,3367,2536,9,4.3,9.1,73.0,13.3,2.43,6,83.61,1,Trending
52,2023-08-13,2023,Winter,Latin America,P100051,Denim,Skinny Jeans,Sage Green,Polyester,Premium,103.96,21.8,0,20,5649,7777,2361,6,3.8,16.4,86.2,14.5,1.82,2,51.53,0,Not Trending
53,2023-08-26,2023,Fall,Asia Pacific,P100052,Activewear,Sports Bra,Cream,Linen,Budget,12.58,18.6,1128,76,3135,5939,0,14,4.9,17.8,59.1,12.7,2.56,31,46.38,0,Not Trending
54,2025-03-02,2025,Summer,North America,P100053,Tops,Tank Top,White,Silk,Mid-Range,65.95,7.8,914,66,4300,10967,2583,23,3.8,14.2,75.5,36.2,4.05,16,77.94,1,Trending
55,2024-09-13,2024,Summer,Europe,P100054,Tops,Corset Top,Sage Green,Polyester,Budget,18.27,22.4,1618,39,2210,0,1431,20,4.1,6.2,33.3,27.5,3.12,0,31.57,0,Not Trending
56,2024-04-02,2024,Winter,Europe,P100055,Activewear,Running Tights,Chocolate Brown,Linen,Budget,29.87,26.6,2785,44,3752,574,2271,10,3.3,11.9,79.6,22.9,1.12,18,56.88,0,Not Trending
57,2023-09-03,2023,Spring,Asia Pacific,P100056,Outerwear,Puffer Jacket,Beige,Knit,Mid-Range,39.44,19.2,1350,30,3855,10194,725,13,4.4,10.5,49.2,39.1,4.2,14,40.66,0,Not Trending
58,2024-05-02,2024,Fall,Europe,P100057,Activewear,Running Tights,Hot Pink,Wool,Budget,34.22,18.5,711,83,5491,12797,0,23,4.4,14.2,78.5,34.7,5.34,0,56.18,0,Not Trending
59,2025-03-03,2025,Summer,North America,P100058,Activewear,Sports Bra,Lavender,Polyester,Budget,29.5,18.1,1120,61,0,17311,1742,6,3.8,9.1,88.9,26.5,3.49,27,52.99,0,Not Trending
60,2025-11-04,2025,Fall,Middle East,P100059,Dresses,Shirt Dress,Burgundy,Silk,Budget,12.26,23.9,1519,44,2581,9952,2461,17,4.6,16.9,88.1,17.3,2.11,6,41.51,0,Not Trending
61,2023-04-19,2023,Fall,Middle East,P100060,Footwear,Ankle Boots,Black,Polyester,Luxury,445.32,10.3,2507,46,3580,19628,2564,21,4.4,10.0,72.9,34.7,3.33,54,71.3,1,Trending
62,2025-01-05,2025,Summer,Latin America,P100061,Outerwear,Puffer Jacket,Butter Yellow,Wool,Luxury,412.19,40.2,599,15,145,0,1298,11,4.0,0.0,71.7,5.4,2.91,45,33.17,0,Not Trending
63,2025-07-04,2025,Winter,Latin America,P100062,Bottoms,Mini Skirt,Beige,Wool,Premium,109.17,8.2,1068,49,1754,2641,881,15,4.5,5.1,51.4,13.8,5.49,24,38.72,0,Not Trending
64,2025-04-03,2025,Fall,Europe,P100063,Tops,Blouse,Butter Yellow,Knit,Budget,16.82,22.4,101,7,3420,4425,2380,19,4.0,19.2,32.3,25.6,3.96,34,31.35,0,Not Trending
65,2025-04-23,2025,Spring,North America,P100064,Denim,Baggy Jeans,Rust Orange,Wool,Premium,130.87,10.6,1426,84,2526,0,477,12,3.7,2.6,63.4,6.2,2.56,9,52.73,0,Not Trending
66,2025-09-27,2025,Winter,Europe,P100065,Denim,Skinny Jeans,Charcoal,Knit,Budget,26.94,15.4,685,54,4459,64,1222,18,3.4,11.9,49.8,30.3,0.18,25,56.6,0,Not Trending
67,2024-01-06,2024,Winter,Latin America,P100066,Denim,Denim Skirt,Rust Orange,Cotton,Mid-Range,45.39,14.3,529,14,2652,4352,1540,14,4.9,13.4,53.6,31.3,5.4,0,35.48,0,Not Trending
68,2025-05-21,2025,Spring,Europe,P100067,Accessories,Bucket Hat,Chocolate Brown,Linen,Luxury,316.8,29.1,1555,33,4064,22571,0,14,4.1,15.5,90.2,21.9,5.2,0,68.26,1,Trending
69,2024-08-11,2024,Winter,Asia Pacific,P100068,Footwear,Chunky Sneakers,Charcoal,Denim,Mid-Range,77.95,13.6,2181,50,2592,644,1652,18,3.4,15.9,76.1,31.7,3.23,9,40.83,0,Not Trending
70,2025-01-12,2025,Winter,Latin America,P100069,Activewear,Track Jacket,Sage Green,Denim,Mid-Range,78.74,0.0,1590,100,799,7486,2818,14,3.8,13.7,73.2,21.4,4.18,16,51.18,0,Not Trending
71,2024-05-13,2024,Fall,Middle East,P100070,Tops,Bodysuit,Lavender,Wool,Budget,27.8,9.4,1948,36,3495,7293,1985,12,3.5,8.8,83.2,43.7,0.89,23,40.61,0,Not Trending
72,2025-03-25,2025,Spring,Latin America,P100071,Tops,Tank Top,Rust Orange,Denim,Mid-Range,59.72,0.0,1385,35,0,11204,1098,22,3.4,15.6,95.9,13.4,6.38,36,44.06,0,Not Trending
73,2024-03-24,2024,Fall,North America,P100072,Footwear,Slides,Cream,Wool,Mid-Range,63.72,5.7,2140,15,2620,3901,1300,10,3.4,15.0,88.4,14.2,3.97,12,45.73,0,Not Trending
74,2023-11-20,2023,Fall,Middle East,P100073,Denim,Denim Skirt,Rust Orange,Cotton,Mid-Range,65.49,4.0,778,51,647,4111,632,8,3.5,11.1,91.8,48.1,2.82,21,24.65,0,Not Trending
75,2025-11-16,2025,Fall,Latin America,P100074,Footwear,Ankle Boots,White,Knit,Mid-Range,75.56,18.3,0,25,4375,14064,2198,14,3.3,18.1,74.8,17.0,0.72,15,51.71,0,Not Trending
76,2023-07-03,2023,Spring,Middle East,P100075,Footwear,Slides,Beige,Knit,Mid-Range,70.29,26.2,155,61,2998,8198,2064,12,3.9,13.0,88.3,24.8,3.11,0,62.79,1,Trending
77,2025-10-24,2025,Fall,Latin America,P100076,Bottoms,Cargo Pants,Butter Yellow,Wool,Budget,34.64,15.1,1540,22,3829,10893,1279,17,3.6,20.9,63.3,28.8,1.25,0,27.71,0,Not Trending
78,2023-01-24,2023,Winter,Asia Pacific,P100077,Outerwear,Oversized Blazer,Cream,Linen,Budget,14.43,18.5,1832,32,2662,13218,1554,16,4.8,5.5,95.5,21.6,3.19,30,49.38,0,Not Trending
79,2023-08-04,2023,Spring,Middle East,P100078,Accessories,Mini Bag,Mocha Mousse,Satin,Premium,129.04,27.3,2497,9,4449,15110,788,17,3.3,13.2,85.9,12.2,1.79,0,44.79,0,Not Trending
80,2024-03-29,2024,Fall,Asia Pacific,P100079,Footwear,Slides,Sage Green,Linen,Budget,30.61,0.0,1408,65,678,8161,1332,16,4.6,8.3,68.7,9.1,5.04,0,61.31,1,Trending
81,2023-01-26,2023,Summer,Middle East,P100080,Accessories,Bucket Hat,Hot Pink,Knit,Premium,150.31,0.0,2405,16,6208,7833,154,12,4.1,4.4,50.4,16.2,0.8,8,33.54,0,Not Trending
82,2025-04-05,2025,Summer,Asia Pacific,P100081,Bottoms,Cargo Pants,White,Wool,Budget,18.38,17.9,2135,19,2427,5069,1347,15,3.7,10.6,84.7,19.1,2.85,31,37.97,0,Not Trending
83,2023-12-26,2023,Spring,Latin America,P100082,Bottoms,Cargo Pants,Chocolate Brown,Silk,Mid-Range,35.76,17.8,1619,35,3062,6739,492,13,4.3,3.8,85.9,29.7,3.63,25,44.34,0,Not Trending
84,2025-12-10,2025,Summer,Middle East,P100083,Accessories,Bucket Hat,Burgundy,Knit,Budget,21.12,22.0,2285,47,778,13943,1763,15,4.1,13.0,61.8,24.8,3.52,8,55.78,0,Not Trending
85,2024-03-28,2024,Winter,North America,P100084,Denim,Denim Skirt,Rust Orange,Polyester,Budget,19.75,38.0,1961,40,3227,11684,783,11,4.6,13.8,88.2,12.4,1.43,5,55.08,0,Not Trending
86,2024-01-11,2024,Spring,Middle East,P100085,Activewear,Sports Bra,Sage Green,Polyester,Budget,22.37,26.6,1537,64,2014,0,657,13,3.9,14.3,71.5,19.7,4.3,17,37.25,0,Not Trending
87,2024-01-21,2024,Spring,Europe,P100086,Denim,Baggy Jeans,Cream,Denim,Budget,14.82,22.6,859,60,3774,2231,1342,15,4.3,8.2,78.9,21.3,4.73,21,56.21,0,Not Trending
88,2023-04-14,2023,Spring,Middle East,P100087,Bottoms,Leggings,Lavender,Polyester,Luxury,232.99,20.9,1304,37,5801,2763,481,12,4.6,15.0,79.0,17.4,3.59,21,44.26,0,Not Trending
89,2024-05-27,2024,Summer,Latin America,P100088,Denim,Denim Skirt,Cream,Silk,Mid-Range,43.35,13.9,1795,76,3196,19689,859,10,4.3,17.1,100.0,16.7,7.56,25,57.36,0,Not Trending
90,2025-06-12,2025,Summer,Asia Pacific,P100089,Bottoms,Cargo Pants,Black,Linen,Budget,22.81,22.6,747,55,4201,9662,471,18,3.6,8.9,100.0,26.0,5.37,62,33.32,0,Not Trending
91,2025-03-18,2025,Summer,Europe,P100090,Accessories,Belt Bag,Butter Yellow,Denim,Mid-Range,84.41,3.8,1855,65,2253,18605,1410,10,4.4,24.1,89.5,10.0,3.56,22,44.3,0,Not Trending
92,2024-03-01,2024,Summer,Latin America,P100091,Outerwear,Denim Jacket,Sage Green,Denim,Budget,23.35,4.6,2256,42,2087,10188,1749,14,4.7,17.9,100.0,20.1,3.52,18,46.02,0,Not Trending
93,2024-10-08,2024,Fall,Middle East,P100092,Activewear,Running Tights,Hot Pink,Silk,Premium,162.3,4.2,3030,56,3970,2612,41,17,4.1,5.7,73.2,17.0,5.34,7,30.39,0,Not Trending
94,2023-02-13,2023,Fall,Europe,P100093,Activewear,Sports Bra,Lavender,Satin,Premium,184.83,5.6,1440,66,0,13168,135,15,4.4,18.5,27.5,21.4,3.21,27,53.67,0,Not Trending
95,2025-07-11,2025,Winter,Middle East,P100094,Bottoms,Wide-Leg Jeans,White,Polyester,Luxury,319.84,19.4,0,18,6772,5267,0,16,4.2,18.6,84.2,27.0,6.92,34,22.29,0,Not Trending
96,2025-03-08,2025,Fall,North America,P100095,Dresses,Wrap Dress,Beige,Silk,Budget,28.09,30.5,1144,42,2019,3549,0,15,5.0,9.0,75.3,22.6,4.74,24,48.27,0,Not Trending
97,2025-06-25,2025,Fall,Middle East,P100096,Dresses,Shirt Dress,White,Satin,Budget,19.16,18.1,2298,50,0,10583,0,16,3.6,18.0,43.9,19.7,2.76,21,66.24,1,Trending
98,2023-03-20,2023,Summer,Latin America,P100097,Outerwear,Puffer Jacket,Black,Cotton,Mid-Range,54.76,0.0,821,45,1616,15510,1874,16,4.2,11.8,51.3,21.5,3.99,38,71.04,1,Trending
99,2025-10-02,2025,Winter,Asia Pacific,P100098,Footwear,Platform Heels,Mocha Mousse,Polyester,Mid-Range,48.02,14.0,2052,22,2523,7426,2633,21,3.8,15.0,75.9,17.3,4.69,0,46.32,0,Not Trending
100,2024-10-05,2024,Spring,Middle East,P100099,Outerwear,Cardigan,Rust Orange,Cotton,Mid-Range,76.59,18.4,338,57,1225,2200,802,14,3.9,15.5,94.6,13.0,2.2,0,41.63,0,Not Trending
101,2024-03-12,2024,Winter,Asia Pacific,P100100,Activewear,Yoga Set,Cherry Red,Satin,Budget,15.54,40.3,978,34,4232,0,0,15,4.2,9.4,97.7,14.2,3.47,47,19.02,0,Not Trending
102,2024-02-24,2024,Spring,Middle East,P100101,Footwear,Ballet Flats,Butter Yellow,Wool,Premium,169.13,9.5,1693,74,2740,8350,1714,16,5.0,16.9,67.5,27.7,4.73,11,55.07,0,Not Trending
103,2025-08-22,2025,Winter,North America,P100102,Footwear,Slides,Burgundy,Silk,Mid-Range,41.57,9.8,580,46,622,4486,503,10,4.1,16.0,65.8,23.3,4.38,6,35.7,0,Not Trending
104,2025-01-26,2025,Fall,Latin America,P100103,Outerwear,Trench Coat,Burgundy,Silk,Budget,33.95,24.2,1429,47,3214,12239,2439,12,4.5,12.0,61.0,12.4,5.14,53,59.14,0,Not Trending
105,2023-09-18,2023,Summer,Asia Pacific,P100104,Activewear,Running Tights,Lavender,Satin,Budget,21.59,15.1,2565,58,4810,6464,658,9,4.2,16.8,63.3,34.4,4.33,0,48.54,0,Not Trending
106,2025-10-11,2025,Winter,North America,P100105,Bottoms,Denim Shorts,Charcoal,Linen,Budget,30.9,22.4,1240,77,1916,13741,1687,17,3.7,6.8,42.6,26.3,4.22,26,59.15,0,Not Trending
107,2024-05-20,2024,Winter,Asia Pacific,P100106,Footwear,Ankle Boots,Rust Orange,Cotton,Budget,15.81,0.0,1196,0,3778,6099,0,12,4.2,6.4,83.8,24.7,6.91,29,44.09,0,Not Trending
108,2024-07-24,2024,Fall,Latin America,P100107,Footwear,Slides,Mocha Mousse,Satin,Mid-Range,46.51,40.9,2177,47,3679,10301,2094,20,4.4,13.9,58.3,24.7,4.57,0,51.22,0,Not Trending
109,2025-04-15,2025,Summer,Asia Pacific,P100108,Denim,Flared Jeans,Sage Green,Silk,Budget,31.02,6.9,871,25,2607,12135,2,15,3.9,8.4,37.9,19.9,4.9,8,54.74,0,Not Trending
110,2025-07-23,2025,Fall,Middle East,P100109,Tops,Crop Top,Butter Yellow,Silk,Budget,24.57,23.0,928,48,3180,3068,1149,20,3.9,19.2,70.7,14.1,4.38,18,35.04,0,Not Trending
111,2024-01-21,2024,Summer,Asia Pacific,P100110,Footwear,Platform Heels,Black,Knit,Budget,26.07,0.0,1613,82,1346,7896,672,15,3.7,6.0,68.1,15.8,3.68,14,48.82,0,Not Trending
112,2024-08-30,2024,Fall,Europe,P100111,Tops,Corset Top,Black,Linen,Budget,16.8,0.0,2596,62,0,10269,2309,18,3.4,7.9,77.8,17.6,5.43,0,45.16,0,Not Trending
113,2024-07-10,2024,Winter,Asia Pacific,P100112,Dresses,Maxi Dress,Hot Pink,Wool,Premium,174.86,14.4,2100,22,4670,13930,1389,17,4.3,0.0,72.7,27.1,3.39,2,52.88,0,Not Trending
114,2023-05-29,2023,Spring,Europe,P100113,Accessories,Bucket Hat,Baby Blue,Silk,Budget,12.58,9.5,1625,35,2258,3475,1047,19,3.4,5.0,100.0,19.7,2.9,5,38.29,0,Not Trending
115,2024-10-27,2024,Summer,Latin America,P100114,Bottoms,Denim Shorts,Black,Cotton,Mid-Range,53.08,19.0,1171,45,4499,9957,845,16,3.5,18.5,87.8,27.5,4.81,9,34.47,0,Not Trending
116,2023-08-29,2023,Spring,Asia Pacific,P100115,Dresses,Shirt Dress,Cream,Linen,Premium,148.66,33.1,2177,64,2511,7181,815,13,4.3,9.2,54.8,13.4,4.25,35,53.66,0,Not Trending
117,2023-12-08,2023,Summer,Latin America,P100116,Dresses,Bodycon Dress,Rust Orange,Polyester,Mid-Range,76.69,4.7,2270,66,4120,6712,1716,9,4.5,17.8,55.4,21.1,6.09,0,60.16,0,Not Trending
118,2023-08-26,2023,Winter,North America,P100117,Activewear,Yoga Set,Sage Green,Knit,Budget,20.03,0.0,476,69,4505,12215,0,9,5.0,11.3,100.0,44.9,2.13,34,61.39,1,Trending
119,2023-12-03,2023,Summer,North America,P100118,Activewear,Track Jacket,Hot Pink,Polyester,Luxury,587.8,31.4,1906,68,1670,2773,689,15,4.0,17.9,100.0,22.4,2.27,43,43.43,0,Not Trending
120,2023-03-07,2023,Spring,Latin America,P100119,Tops,Corset Top,Beige,Silk,Mid-Range,67.35,0.0,619,62,6058,8322,1715,15,3.2,5.6,77.3,6.8,2.69,7,63.91,1,Trending
121,2024-12-12,2024,Summer,Asia Pacific,P100120,Accessories,Bucket Hat,White,Wool,Luxury,567.08,24.7,1267,29,3843,7529,603,26,4.1,17.9,57.7,14.4,1.39,35,37.85,0,Not Trending
122,2025-10-16,2025,Summer,North America,P100121,Denim,Baggy Jeans,Burgundy,Denim,Mid-Range,70.96,0.0,1499,0,3714,17722,2618,8,3.7,17.5,79.5,13.6,2.49,33,62.39,1,Trending
123,2025-07-24,2025,Summer,Middle East,P100122,Activewear,Yoga Set,Black,Satin,Budget,12.45,1.0,263,85,2197,4246,2678,18,4.5,14.5,98.4,27.5,3.06,0,40.8,0,Not Trending
124,2023-06-04,2023,Spring,Europe,P100123,Denim,Baggy Jeans,Hot Pink,Polyester,Budget,31.49,8.0,984,50,0,15049,586,16,4.1,18.2,74.4,21.2,3.98,8,44.96,0,Not Trending
125,2025-06-22,2025,Spring,Europe,P100124,Accessories,Belt Bag,Cream,Knit,Budget,29.57,0.5,1647,89,3443,14918,1776,12,3.9,26.3,59.7,43.3,4.73,14,80.04,1,Trending
